ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
122,સંજયભાઈ એક મુદ્દાની વાત કરું ? તેમ જેવી વાતો કરો છો એવું કઇ નાઈ કરી શકો તમે મોટા ફાકા મારવા શિવાય કાઈ નથી કરતા નેતા જેમ પબ્લીકને બેવકૂફ બનાવી ને પોતાનું ખિચ્ચું ભારે તેમ તમે જનતાને ખોટા ગપ્પા મારી તમારી પબ્લિસિટી કરો છો... સીએમ નથી બના તે પહેલા જ ખોટા ગપ્પા મારવાનું ચાલુ કરી દીધું.<br>ને સંજયભાઈ મોટીવેશન ની તમારે જરૂર પડે તો મારા દાદા પાશેથી લઈ જજો....🤪 બાકી જેને સારા કર્મ કરવા જ છે તેને આવા ગપ્પા ની કાઈ જરૂર જ નથી પડતી....,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
123,કાખ માંથી આસુ આવી જાય એવી વાત છે સમજો માનવ જાતિ હોયતો સાહેબ,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
124,ફેકવામાં ક્યાં જાય છે કોઈ નું pm બનો એમ પણ ફેંકો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
125,તમે ગુજરાતના સીએમ બનો તો ગુજરાતનું ગૌરવ વધ સે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
126,લબાડ જેવો છે સાવ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
127,લુક્ખો લાઘીર,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
128,બોલ્યા એ પાળજો સાહેબ!!!....દેશના સજ્જનો સાથે જ હશે 🙏😊👏👏👏,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
129,હરામીનો છે સાવ તું વાઘરી તેમાં,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
130,કૂતરીના ​પેટની છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
131,"ભાઇ, પરીક્ષા તો ફરી પણ આવશે જીંદગી ફરી નથી મળતી, બીજું કે કોઈ વિધાર્થી નું પરિણામ નબળું આવે તો માતા-પિતા એ પણ બાળકો ને હીંમત આપી ને આગળ વધવા ની પ્રેરણા આપવી જોઈએ.","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
132,અલ્યા ભાઈ આનું મગજ છટકી ગયું છે આને કોઈ સંભાળો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
133,નીચ વાઘરી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
134,ચોડી ની તેમાં,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
135,"150 કરોડ નો દેશ છે એક ગોલ્ડ મેડલ નથી આવતો , જે દેશ માં ગોલ્ડ મેડલ આવે છે ને 100 ને 110 મેડલ એ દેશ ના એથલીટ ને દર મહિને સરકાર રૂપિયા આપે છે , એટલે એ લોકો ફૂલ સમય આપી શકે છે. આપણા દેશ માં ગરીબી જ એટલી છે અડધી જિંડગી તો લોકો ની ઘર ચલાવા મા જ જાય છે અહીં કોઈને પર્સનલ વિચારવા નો અધીકાર નથી , અને ઘર ચલાવા મોદી સાહેબ ના પપ્પા નથી આવતા .","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
136,Cm બનવુ કાઇ નાની મા નુ ધર છે.? 😠😠,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
137,"ઘરે કચરો વળતા આવડતો નથી અને CM બનવું છે, કૈક તો હદ હોય ને ગપ્પા મારવાંની😂😂","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
138,લસણ બંધ રેને,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
139,રાંડવો છે સાવ એ તો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
140,ગધેડીના,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
141,વાતો ખાલી સારી કરે છે કેટલાય કોન્ટ્રાક્ટર ના રૂપિયા Sanjay Raval nam na આ બિલ્ડરે આપ્યા નથી અને ધમકી આપે છે,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
142,ખુબ સરસ જીવન જીવવા માટે જીવનમંત્ર મને ક્યારે પણ ટેન્શન માં હોય ત્યારે બસ તમારા વિડિઓ જોઈ લવ છું ટેન્શન ગાયબ પછી ખુશ ખુશાલ,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
143,"પૂરેપૂરો સહકાર છે શાળા બનવા માટે. મને તમારી શાળા વળી વાત જ ગમે છે. શિક્ષણ નો વેપાર ફક્ત ભારતમાં જ થાય છે. શિક્ષણ મફત હોવું જોઈએ. અને શિક્ષક બાલમંદિર માં જ સારો હોવો જોઈએ. અને હા કૉર્સ ના વિકલ્પો ઉપલબ્ધ હોવા જોઈએ. જ્યારે વિદેશોમાં રાંધવાનું, વાળ કાપવાનું, શિક્ષણ લેતા જોઈએ ત્યારે થાય ડોક્ટર, એન્જિનિયર કરતા પણ વિશેષ કંઇક છે.","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
144,ઉપર ચોરો ની સરકાર બેઠી છે એની પાસે થી સીટ લેવી અઘરું કામ છે... પણ થઈ શકે એવું છે અઘરું છે અશક્ય નથી..,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
145,મુખ્ય મંત્રી તો બધા ને થવું છે પણ ઘેરથી મત નથી મળે એમ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
146,બિનસચિવાલય વખતે તમે આંદોલનકારીઓ પાસે સરકાર તરફથી મોકલ્યા હતા. અને આવડું મોટું બિનસચિવાલય આંદોલન અને તમે કહ્યું કે મને કાઈ ખબર નથી. પોલીસ ના માર વિધાર્થીઓએ ખાધો. અને તમે કહ્યું પોલીસને કાંઈ કહેશો નહીં. પછી વિધાર્થીઓ એ તમને કહ્યું અહીં જવા દો. છેલ્લે યુવરાજ સિંહ સીટ માં બેઠા. ત્યારે તેમણે રિઝલ્ટ લાવી દીધું. કે પેપર લીક થયા છે.એવી કાબેલિયત પ્રજા સમક્ષ પ્રુફ કરવી પડે. ત્યારે લોક હિત માટે કામ કરો છો એવું સાબિત થાય. સારા અવાજ થી અને ગોઠવેલા શબ્દોથી ભણાવવા વાળા પ્રોફેસરો ઘણાં છે. એને ગુજરાતી ભાષામાં વાત ડાયો માણસ કહે છે.....,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
147,ગધેડીના પેટનો હું થયો છે વાઘરી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
148,સરમ કર ભોસમારીના,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
149,અક્કલમઠ્ઠો છે સાવ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
150,વેતીનો થાને હવે હાલી હુ નિકરો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
151,ભાનબારીનો તેમાં,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
152,સહુથી મોટો ફેંકુ.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
153,વાંદરીની,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
154,વાંદરીનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
155,ચાંપલી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
156,ધોળા દિવસે સપના જોવા નું બંધ કરો 😂,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
157,જુડવા પુરુષ ના ફિંગર એક હોય છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
158,રાવલ સર આજે પણ આપણા 3જવાન ૧મૈજર સહીદ થયા છે તો શુ આતકવાદી જે ધર મા છુપાએલા છે તો શુ આપણે તે ધરને જ ઉડાવી દ ઇએ તો ભલે એક અલગાવવાદી મારયો જાય?,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
159,ચંપલો છે આ તો એક નંબરનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
160,તારી મને ભળી થાય,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
161,નાકકમીનો છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
162,તુ ભાઈ સંજયભાઈ જે કરે છે એના કરતા અડધુ કામ કરી બતાય ભોસડીના,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
163,જેવા તેવા ને નાં બનાવાય .,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
164,આ ચોદું પોતાનાજ વખાણ કરે એ બધા વિડિઓ માં પોતાની જ પ્રોપર્ટી ના વખાણ કરે ને વાતો કર એ માદરછોડ પિંકીનો સાલો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
165,ભાઈએ બહેનો ને એવું કહેવું જોઈએ કે... પાચ લાખ રૂપિયા નહીં હું વીસ લાખ આપું... પણ તમારે શું કરવું છે?,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
166,તારી માને પેંડા ભાવે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
167,તારી માસી ની ટીકડી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
168,કાગડો દૈતરું લાય ગયો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
169,ગાંડા ના ગામ ના હોય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
170,ડાય સાસરે ના જાય અને ગાંડી ને શિખામણ આપે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
171,વડ જેવા ટેટા ને બાપ જેવા બેતા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
172,અકલ નો ઓથમિર,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
173,બુદ્ધિ વગર નો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
